,id,Degree,In-degree,Out-degree,Weighted degree,Weighted in-degree,Weighted out-degree,Clustering coefficient,Pagerank,Degree centrality,In-degree centrality,Out-degree centrality,Betweenness centrality,Clossness centrality,Eigenvector centrality,Katz centrality,Harmonic centrality,Load centrality,Mean shortest path length,Max shortest path length
0,3; Adrià Gual 1,2,1,1,2.0,1.0,1.0,0.0,0.004559534532362663,0.009852216748768473,0.0049261083743842365,0.0049261083743842365,0.08493878944544701,0.03348729792147806,0.00024542244235571176,0.06805968838496476,9.525878882656741,0.08493878944544701,22.3,41
1,2; Adrià Gual 2,2,1,1,2.0,1.0,1.0,0.0,0.003991845492838946,0.009852216748768473,0.0049261083743842365,0.0049261083743842365,0.08493878944544701,0.040309769658459095,0.001897092929411619,0.06805968838496476,10.89366382073132,0.08493878944544701,27.33,47
2,214; Aeroclub de Reus 1,2,1,1,2.0,1.0,1.0,0.0,0.004332034046983414,0.009852216748768473,0.0049261083743842365,0.0049261083743842365,0.08493878944544701,0.040886203423967774,0.001738776392989506,0.06805968838496476,11.183048185317066,0.08493878944544701,25.67,48
3,225; Aeroclub de Reus 2,2,1,1,2.0,1.0,1.0,0.0,0.0041137608965104554,0.009852216748768473,0.0049261083743842365,0.0049261083743842365,0.08493878944544701,0.04389189189189189,0.0034386821984611214,0.06805968838496476,11.899724479967594,0.08493878944544701,27.34,50
4,1; Aeroport,2,1,1,2.0,1.0,1.0,0.0,0.004231733678704089,0.009852216748768473,0.0049261083743842365,0.0049261083743842365,0.08493878944544701,0.042335766423357665,0.0024453716986756217,0.06805968838496476,11.522370553000627,0.08493878944544701,26.5,49
5,5; Agro Reus 1,2,1,1,2.0,1.0,1.0,0.0,0.0046548547899544195,0.009852216748768473,0.0049261083743842365,0.0049261083743842365,0.08493878944544701,0.03169893816364772,0.00012385456438652792,0.06805968838496476,9.18736670926933,0.08493878944544701,20.62,39
6,4; Agro Reus 2,2,1,1,2.0,1.0,1.0,0.0,0.003642823662797528,0.009852216748768473,0.0049261083743842365,0.0049261083743842365,0.08493878944544701,0.04324669791222838,0.003748011006927153,0.06805968838496476,11.526383219401179,0.08493878944544701,29.0,49
7,6; Alcolea,2,1,1,4.0,2.0,2.0,0.0,0.00447534250416763,0.009852216748768473,0.0049261083743842365,0.0049261083743842365,0.039225966931668535,0.05168024439918534,0.020692587557247302,0.06805969451033678,13.61119576508293,0.039225966931668535,14.3,32
8,8; Antoni Rubió i Lluch 1,2,1,1,2.0,1.0,1.0,0.0,0.004691625645490506,0.009852216748768473,0.0049261083743842365,0.0049261083743842365,0.08493878944544701,0.030874524714828898,8.792664037736336e-05,0.06805968838496476,9.03378018546338,0.08493878944544701,19.78,38
9,7; Antoni Rubió i Lluch 2,2,1,1,2.0,1.0,1.0,0.0,0.0034218318113872657,0.009852216748768473,0.0049261083743842365,0.0049261083743842365,0.08493878944544701,0.044881715675436654,0.005268079552005548,0.06805968838496476,11.892204721652694,0.08493878944544701,29.84,50
10,187; Avinguda Barcelona,3,2,1,4.0,2.0,2.0,0.0,0.003761567227768355,0.014778325123152709,0.009852216748768473,0.0049261083743842365,0.039225966931668535,0.07328519855595668,0.1596837705898333,0.07572016438325821,21.732394343281687,0.039225966931668535,19.98,38
11,10; Avinguda de Marià Fortuny 1,2,1,1,4.0,2.0,2.0,0.0,0.004743995962855823,0.009852216748768473,0.0049261083743842365,0.0049261083743842365,0.10593165227852834,0.05892597968069666,0.01578544711119893,0.06815020300724373,16.8742231547995,0.10833780422377214,17.66,38
12,9; Avinguda de Marià Fortuny 2,2,1,1,2.0,1.0,1.0,0.0,0.002857025945947668,0.009852216748768473,0.0049261083743842365,0.0049261083743842365,0.019558113446812662,0.0535337552742616,0.022526231912217868,0.06806111559664448,14.26476145397349,0.019558113446812662,16.51,41
13,12; Avinguda de Sant Jordi 1,2,1,1,12.0,6.0,6.0,0.0,0.01070797803063316,0.009852216748768473,0.0049261083743842365,0.0049261083743842365,0.17567754312377046,0.06909462219196733,0.07866435797558842,0.0701927634342939,20.458173644548214,0.17602302102131395,14.91,33
14,11; Avinguda de Sant Jordi 2,2,1,1,12.0,6.0,6.0,0.0,0.007245807378647067,0.009852216748768473,0.0049261083743842365,0.0049261083743842365,0.07547675949860996,0.062136516681971225,0.05521324480423973,0.06806052143555892,16.380153564463477,0.07547675949860996,14.07,35
15,207; Avinguda de Tarragona  1,2,1,1,2.0,1.0,1.0,0.0,0.004550152569202769,0.009852216748768473,0.0049261083743842365,0.0049261083743842365,0.08493878944544701,0.037077625570776256,0.0006245011739347033,0.06805968838496476,10.340007144376688,0.08493878944544701,23.17,45
16,208; Avinguda de Tarragona  2,2,1,1,2.0,1.0,1.0,0.0,0.0036179791143041602,0.009852216748768473,0.0049261083743842365,0.0049261083743842365,0.08493878944544701,0.049331713244228435,0.009556346210649474,0.06805969451033678,13.350008663943136,0.08493878944544701,29.84,53
17,186; Avinguda del comerç,3,1,2,4.0,2.0,2.0,0.0,0.004539428307522607,0.014778325123152709,0.0049261083743842365,0.009852216748768473,0.039225966931668535,0.04925988837660762,0.014720538926683837,0.06805968838496476,12.987957771360854,0.039225966931668535,13.36,31
18,37; Avinguda.  Castellvell 2,3,1,2,8.0,4.0,4.0,0.16666666666666666,0.006369864632560888,0.014778325123152709,0.0049261083743842365,0.009852216748768473,0.05237038482173341,0.07482491706597862,0.1419301851701723,0.07018141311994844,22.41823251189401,0.05237038482173341,16.81,35
19,36; Avinguda. Castellvell 1,2,1,1,6.0,3.0,3.0,0.0,0.00643382709778775,0.009852216748768473,0.0049261083743842365,0.0049261083743842365,0.05237038482173341,0.06623164763458401,0.1707760700597778,0.06876844293018057,19.130437590724966,0.05237038482173341,15.09,33
20,195; Barri  Gaudi,2,1,1,4.0,2.0,2.0,0.0,0.003932882325597392,0.009852216748768473,0.0049261083743842365,0.0049261083743842365,0.039225966931668535,0.06851164360445494,0.11359036126701158,0.06882572128390127,19.13610205770922,0.039225966931668535,19.03,37
